Location,TagID,contlabel,Area,type,Overlap_area
Panmure,Grey/Red,95,1.43791562978025,Territory,0.113364957315344
Panmure,Black/Black,95,0.646347194031042,Territory,0.113364957314398
Panmure,Blue/Orange,95,0.51547322278769,Territory,0.457081335163122
Panmure,Green/Green,95,0.946686758305028,Territory,0.449918914803051
Panmure,Orange/Red,95,0.758576275447273,Territory,0.134006105424459
Panmure,Blue/Blue,95,0.820884589168313,Territory,0
BurntLands,Black/Red,95,5.47400309901023,Territory,0.229787210093904
BurntLands,Grey/Grey,95,1.44940994411733,Territory,0.229787210100624
BurntLands,Blue/Green,95,0.911949026149628,Territory,0
BurntLands,Red/Red,95,0.621480443945999,Territory,0
BurntLands,Green/Red,95,0.760618025683984,Territory,0
BurntLands,Black/Orange,95,2.21313049111799,Territory,0
Panmure,Grey/Red,95,0.749500279022323,Triangulation,0.15042639849932
Panmure,Black/Black,95,0.801613803303303,Triangulation,0.150426398498379
Panmure,Blue/Orange,95,0.933303892200394,Triangulation,0.842731752294814
Panmure,Green/Green,95,2.05635993781226,Triangulation,0.842607427435269
Panmure,Orange/Red,95,0.769953455099883,Triangulation,0.371622836698382
Panmure,Blue/Blue,95,1.69283233464446,Triangulation,0.346795495777635
BurntLands,Black/Red,95,2.3112621661176,Triangulation,0.265524147515092
BurntLands,Grey/Grey,95,1.63899517358075,Triangulation,0.26552414751288
BurntLands,Blue/Green,95,4.34847390223146,Triangulation,0.0688803944956191
BurntLands,Red/Red,95,3.62781256703977,Triangulation,0
BurntLands,Green/Red,95,3.35359752887462,Triangulation,0
BurntLands,Black/Orange,95,5.62776896729283,Triangulation,0.0688803944952262
Panmure,Grey/Red,95,1.48471363017039,Home Range,0.36478949599116
Panmure,Black/Black,95,0.85860298106831,Home Range,0.317964084313437
Panmure,Blue/Orange,95,1.0143550356106,Home Range,1.12285165020976
Panmure,Green/Green,95,1.9959408736508,Home Range,1.23860609061865
Panmure,Orange/Red,95,1.19888025257664,Home Range,0.648193562484326
Panmure,Blue/Blue,95,1.36856836551046,Home Range,0.149883486749048
BurntLands,Black/Red,95,5.58604679739969,Home Range,0.784277236942505
BurntLands,Grey/Grey,95,2.26822686995191,Home Range,0.78427723693843
BurntLands,Blue/Green,95,3.64659616714879,Home Range,0
BurntLands,Red/Red,95,4.32670900974488,Home Range,0.000359407254133839
BurntLands,Green/Red,95,2.77649168888293,Home Range,0
BurntLands,Black/Orange,95,5.79265987423083,Home Range,0.000359407254180405
